,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
161,Yellow,Coldplay,760454,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
162,"Slumber Party (feat. Princess Nokia)",Ashnikko,758926,https://open.spotify.com/track/11ZulcYY4lowvcQm4oe3VJ
163,Mask,Dream,754931,https://open.spotify.com/track/3IxMaULfjq4IT2IN6v54PB
164,Anyone,"Justin Bieber",754586,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
165,"Say You Won't Let Go","James Arthur",753158,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
166,"The Box","Roddy Ricch",749327,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
167,"Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo","Os Barões Da Pisadinha",748841,https://open.spotify.com/track/2SUPbyD77tJuOUbqbxct6l
168,"Breaking Me",Topic,743383,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
169,"Wake Me Up",Avicii,743316,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2
170,"Savage Love (Laxed - Siren Beat)","Jawsh 685",742263,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
171,"Prisoner (feat. Dua Lipa)","Miley Cyrus",739239,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
172,"Daddy Issues","The Neighbourhood",737928,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
173,"Solid (feat. Drake)","Young Stoner Life",737130,https://open.spotify.com/track/6rTInqW3YECMkQsBEHw4sd
174,"All I Want - From ""High School Musical: The Musical: The Series""","Olivia Rodrigo",736628,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW
175,"No Role Modelz","J. Cole",736141,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
176,Riptide,"Vance Joy",735895,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
177,"HIGHEST IN THE ROOM","Travis Scott",734274,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
178,"GIRL LIKE ME","Black Eyed Peas",731161,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
179,"Ram Pam Pam","Natti Natasha",729915,https://open.spotify.com/track/4DHDIdeayp8xvlyg22wREO
180,"One Dance",Drake,726769,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
181,"Just the Way You Are","Bruno Mars",726011,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ
182,"Little Bit of Love","Tom Grennan",723909,https://open.spotify.com/track/3Iba59sFmGhQ4kbCY5L8AX
183,"Holy (feat. Chance The Rapper)","Justin Bieber",720710,https://open.spotify.com/track/6Xgq7MvZiet0hVi3KaDSgJ
184,"Tapão Na Raba","Raí Saia Rodada",720380,https://open.spotify.com/track/58pgi1RpcU2fVJsxhm7BIr
185,"All of Me","John Legend",718282,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
186,"Cloud 9","Beach Bunny",714287,https://open.spotify.com/track/6vFsBXYczYsP0H3lgunZOm
187,"Blueberry Faygo","Lil Mosey",711928,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
188,Straightenin,Migos,707103,https://open.spotify.com/track/3X2r2CnHOJeV5YekPTgBnK
189,"Ride It",Regard,706885,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
190,"7 rings","Ariana Grande",705560,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
191,"Jocelyn Flores",XXXTENTACION,705207,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
192,"l e t . g o . m y . h a n d (with Bas & 6LACK)","J. Cole",703402,https://open.spotify.com/track/0GAyuCo975IHGxxiLKDufB
193,"Laugh Now Cry Later (feat. Lil Durk)",Drake,702530,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
194,"I WANNA BE YOUR SLAVE",Måneskin,699935,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
195,"my ex's best friend (with blackbear)","Machine Gun Kelly",694454,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
196,"The Real Slim Shady",Eminem,691331,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
197,"TE MUDASTE","Bad Bunny",690870,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
198,"SICKO MODE","Travis Scott",689277,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
199,"Smells Like Teen Spirit",Nirvana,689245,https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf
200,"Do I Wanna Know?","Arctic Monkeys",689037,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
